,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_Residancy_Altitude,Yearly_ExpensesK,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Overall_happiness_score,Num_of_kids_born_last_10_years,,,,
Occupation_Satisfaction,1,0.010452743,0.009056836,0.011480045,0.00235913,0.0168633,0.02828597,0.001484517,-0.004522624,0.001756324,-0.008708468,0.00064046,-0.005418506,-0.018168085,-0.000926197,-0.017653496,0.003053455,-0.015997013,-0.018974598,0.001935774,0.016672365,0.002101058,0.006378477,-0.019517442,-0.002594874,-0.016951094,-0.007585215,,,,
Avg_monthly_expense_when_under_age_21,0.010452743,1,0.809738732,1,-0.056618963,0.00461834,-0.019581869,0.013195017,0.012947303,0.008950092,-0.000545695,0.000754963,-0.02387019,-0.136277701,-0.074546877,-0.155878435,-0.024701259,-0.161353639,-0.089416917,0.007978538,0.91742511,0.043474825,0.011997507,-0.170181961,0.01654595,-0.156916272,-2.44E-05,,,,
AVG_lottary_expanses,0.009056836,0.809738732,1,0.811114762,0.413443763,0.006116256,-0.012477254,0.003928091,0.01855672,0.00081127,-0.003359389,-0.001082991,-0.021288281,0.039575391,0.389169422,0.101955883,0.405535878,-0.007449066,0.105341243,0.01199741,0.696084808,-0.080083442,0.008785145,0.044280281,0.002013219,-0.054962899,0.006945325,,,,
Avg_Residancy_Altitude,0.011480045,1,0.811114762,1,-0.055705982,0.006119287,-0.020125656,0.013258184,0.012638741,0.010154774,0.000145784,-0.000114902,-0.023756719,-0.135953902,-0.07366899,-0.156128304,-0.024536185,-0.161110429,-0.0890425,0.007810023,0.917510786,0.041923202,0.010604787,-0.171059688,0.016997681,-0.159655305,0.001547548,,,,
Yearly_ExpensesK,0.00235913,-0.056618963,0.413443763,-0.055705982,1,0.00079039,0.015337959,-0.009462639,0.006493834,-0.0236522,0.009464695,-0.004527278,-0.000865537,0.40233506,0.990461827,0.566010109,0.974222061,0.332407446,0.480696196,0.026435439,-0.082771952,-0.303782848,-0.012134144,0.468656128,-0.024471552,0.193896819,0.002672265,,,,
Financial_balance_score_(0-1),0.0168633,0.00461834,0.006116256,0.006119287,0.00079039,1,0.006143467,-0.01443864,-0.008920587,0.003085939,-0.002948204,0.003523364,-0.008223713,-0.010686563,-0.000332262,-0.007730739,-0.000924314,-0.011709377,-0.004297709,-0.000821774,0.003677888,0.004238197,0.019828769,-0.009937874,-0.001567687,-0.006865682,-0.00088201,,,,
%Of_Household_Income,0.02828597,-0.019581869,-0.012477254,-0.020125656,0.015337959,0.006143467,1,-0.005185866,-0.017532393,0.001085329,-0.001644125,-0.007455611,-0.00501651,0.024482825,0.017127022,0.024234046,0.018951311,0.017575055,0.028190147,-0.012514379,-0.011706389,-0.016991198,0.019518876,0.022259807,0.016232542,0.009065293,0.010118131,,,,
Avg_government_satisfaction,0.001484517,0.013195017,0.003928091,0.013258184,-0.009462639,-0.01443864,-0.005185866,1,-0.001185568,0.00739394,-0.002531329,-0.00529792,0.007869151,-0.025882242,-0.014958066,-0.023408862,-0.010618054,-0.026015066,-0.023949234,-0.006140878,0.009818759,0.008016008,-0.007667458,-0.021396077,-0.010867026,-0.004831927,0.003304378,,,,
Avg_education_importance,-0.004522624,0.012947303,0.01855672,0.012638741,0.006493834,-0.008920587,-0.017532393,-0.001185568,1,0.001517414,0.015472345,0.017344508,-0.004925538,-0.003202831,0.005233602,-0.002537949,0.004202213,-0.003770226,-0.000826022,-0.008819395,0.015190024,0.001060969,-0.008093136,-0.003852528,-0.006029413,-0.001771692,0.001804857,,,,
